session_id,condition,session_started,page,entered_at,duration_ms,click_count
6929e65f-0f3d-4b32-9998-73c15dfcfed0,demo,2026-06-30T12:51:55.786290,,,,
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,overview,2026-06-30T19:52:06.367Z,10493,3
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,control,2026-06-30T19:52:16.860Z,7258,2
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,control-task-img-1,2026-06-30T19:52:24.118Z,4287,5
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,control-task-img-2,2026-06-30T19:52:28.405Z,1729,3
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,control-task-img-3,2026-06-30T19:52:30.134Z,1627,3
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,control-task-img-4,2026-06-30T19:52:31.761Z,2686,5
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,control-task-img-5,2026-06-30T19:52:34.447Z,2039,1
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int1,2026-06-30T19:52:36.487Z,799,1
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3,2026-06-30T19:52:37.287Z,0,0
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-tip-1,2026-06-30T19:52:37.287Z,2137,1
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-tip-2,2026-06-30T19:52:39.424Z,676,1
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-tip-3,2026-06-30T19:52:40.100Z,742,1
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-tip-4,2026-06-30T19:52:40.842Z,896,1
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-tip-5,2026-06-30T19:52:41.739Z,833,1
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-task-img-1,2026-06-30T19:52:42.573Z,2567,5
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-task-img-2,2026-06-30T19:52:45.140Z,2878,6
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-task-img-3,2026-06-30T19:52:48.018Z,3837,5
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-task-img-4,2026-06-30T19:52:51.856Z,3780,4
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int3-task-img-5,2026-06-30T19:52:55.637Z,1531,1
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int4,2026-06-30T19:52:57.169Z,0,0
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int4-round-1,2026-06-30T19:52:57.169Z,12,0
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int4-round-1,2026-06-30T19:52:57.181Z,6072,13
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int4-round-2,2026-06-30T19:53:03.254Z,8956,19
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int5,2026-06-30T19:53:12.211Z,0,0
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int5-train-1,2026-06-30T19:53:12.211Z,0,0
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int5-train-1,2026-06-30T19:53:12.211Z,2285,3
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int5-train-2,2026-06-30T19:53:14.496Z,2685,3
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int5-train-3,2026-06-30T19:53:17.181Z,1239,3
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int5-train-4,2026-06-30T19:53:18.420Z,1323,3
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int5-train-5,2026-06-30T19:53:19.744Z,1202,2
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,demo,2026-06-30T12:52:06.368140,int5-train-6,2026-06-30T19:53:20.946Z,15455,0
