StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,UserLanguage,Consent,consent_timer_First Click,consent_timer_Last Click,consent_timer_Page Submit,consent_timer_Click Count,meta_info_Browser,meta_info_Version,meta_info_Operating System,meta_info_Resolution,prolific_id_timer_First Click,prolific_id_timer_Last Click,prolific_id_timer_Page Submit,prolific_id_timer_Click Count,welcome_instr_timer_First Click,welcome_instr_timer_Last Click,welcome_instr_timer_Page Submit,welcome_instr_timer_Click Count,Attention check 1,attention_1_timer_First Click,attention_1_timer_Last Click,attention_1_timer_Page Submit,attention_1_timer_Click Count,detection_intro_time_First Click,detection_intro_time_Last Click,detection_intro_time_Page Submit,detection_intro_time_Click Count,3_task_real_or_fake,3_task_sharing,3_task_seen_before,3_task_timer_First Click,3_task_timer_Last Click,3_task_timer_Page Submit,3_task_timer_Click Count,4_task_real_or_fake,4_task_sharing,4_task_seen_before,4_task_timer_First Click,4_task_timer_Last Click,4_task_timer_Page Submit,4_task_timer_Click Count,5_task_real_or_fake,5_task_sharing,5_task_seen_before,5_task_timer_First Click,5_task_timer_Last Click,5_task_timer_Page Submit,5_task_timer_Click Count,6_task_real_or_fake,6_task_sharing,6_task_seen_before,6_task_timer_First Click,6_task_timer_Last Click,6_task_timer_Page Submit,6_task_timer_Click Count,7_task_real_or_fake,7_task_sharing,7_task_seen_before,7_task_timer_First Click,7_task_timer_Last Click,7_task_timer_Page Submit,7_task_timer_Click Count,8_task_real_or_fake,8_task_sharing,8_task_seen_before,8_task_timer_First Click,8_task_timer_Last Click,8_task_timer_Page Submit,8_task_timer_Click Count,9_task_real_or_fake,9_task_sharing,9_task_seen_before,9_task_timer_First Click,9_task_timer_Last Click,9_task_timer_Page Submit,9_task_timer_Click Count,10_task_real_or_fake,10_task_sharing,10_task_seen_before,10_task_timer_First Click,10_task_timer_Last Click,10_task_timer_Page Submit,10_task_timer_Click Count,11_task_real_or_fake,11_task_sharing,11_task_seen_before,11_task_timer_First Click,11_task_timer_Last Click,11_task_timer_Page Submit,11_task_timer_Click Count,12_task_real_or_fake,12_task_sharing,12_task_seen_before,12_task_timer_First Click,12_task_timer_Last Click,12_task_timer_Page Submit,12_task_timer_Click Count,13_task_real_or_fake,13_task_sharing,13_task_seen_before,13_task_timer_First Click,13_task_timer_Last Click,13_task_timer_Page Submit,13_task_timer_Click Count,14_task_real_or_fake,14_task_sharing,14_task_seen_before,14_task_timer_First Click,14_task_timer_Last Click,14_task_timer_Page Submit,14_task_timer_Click Count,15_task_real_or_fake,15_task_sharing,15_task_seen_before,15_task_timer_First Click,15_task_timer_Last Click,15_task_timer_Page Submit,15_task_timer_Click Count,16_task_real_or_fake,16_task_sharing,16_task_seen_before,16_task_timer_First Click,16_task_timer_Last Click,16_task_timer_Page Submit,16_task_timer_Click Count,17_task_real_or_fake,17_task_sharing,17_task_seen_before,17_task_timer_First Click,17_task_timer_Last Click,17_task_timer_Page Submit,17_task_timer_Click Count,slider_confidence_1,confidence_timer_First Click,confidence_timer_Last Click,confidence_timer_Page Submit,confidence_timer_Click Count,Experience deepfakes_1,Experience_detecting_1,Search_engine_1,reverse_image_search_1,genAI_1,media_literacy_timer_First Click,media_literacy_timer_Last Click,media_literacy_timer_Page Submit,media_literacy_timer_Click Count,Attention check 2,attention_2_timer_First Click,attention_2_timer_Last Click,attention_2_timer_Page Submit,attention_2_timer_Click Count,Honesty check 1,Honesty check 2,honesty_timer_First Click,honesty_timer_Last Click,honesty_timer_Page Submit,honesty_timer_Click Count,debrief_timer_First Click,debrief_timer_Last Click,debrief_timer_Page Submit,debrief_timer_Click Count,thank_you_timer_First Click,thank_you_timer_Last Click,thank_you_timer_Page Submit,thank_you_timer_Click Count,mobile,attention_1_failed,attention_2_failed,honesty_1_failed,honesty_2_failed,id
2025-04-01 10:04:13,2025-04-01 10:08:43,100,270,True,2025-04-01 10:08:44,,EN,I consent to participate.,2.578,2.578,3.426,1,Chrome,134.0.0.0,Windows NT 10.0,1366x768,0,0,1.593,0,0,0,1.446,0,"Recycling,Composting",9.462,10.624,12.2,2,0,0,8.645,0,Probably real,No,"No, everything was in order and the image was new to me.",3.248,8.225,9.489,4,Probably real,No,"No, everything was in order and the image was new to me.",2.91,6.982,8.231,3,Probably real,No,"No, everything was in order and the image was new to me.",3.538,7.373,8.628,4,Probably fake,No,"No, everything was in order and the image was new to me.",3.929,7.34,8.765,4,Probably real,No,"No, everything was in order and the image was new to me.",7.548,10.407,14.174,3,Probably real,No,"No, everything was in order and the image was new to me.",2.445,6.258,7.859,3,Probably real,No,"No, everything was in order and the image was new to me.",2.74,5.195,6.975,3,Probably real,No,"No, everything was in order and the image was new to me.",3.428,9.491,11.083,4,Probably real,No,"No, everything was in order and the image was new to me.",3.505,6.819,8.167,3,Probably fake,No,"No, everything was in order and the image was new to me.",5.45,8.664,9.808,3,Probably real,No,"No, everything was in order and the image was new to me.",3.275,6.665,8.982,3,Definitely real,No,"No, everything was in order and the image was new to me.",4.35,9.492,10.969,3,Probably real,No,"No, everything was in order and the image was new to me.",3.464,6.585,8.44,3,Definitely fake,No,"No, everything was in order and the image was new to me.",5.396,9.307,10.513,3,Probably fake,No,"No, everything was in order and the image was new to me.",7.079,12.033,13.4,3,45,2.357,2.357,3.939,1,2,3,5,2,2,4.101,34.103,36.01,7,I prefer audiobooks,5.244,5.244,12.159,1,No,No,5.296,6.787,8.277,2,0,0,12.574,0,0,0,2.564,0,0,1,0,0,0,G2_P0085
2025-04-01 10:04:13,2025-04-01 10:09:23,100,310,True,2025-04-01 10:09:24,,EN,I consent to participate.,2.791,2.791,3.695,1,Chrome,130.0.0.0,Windows NT 10.0,1920x1080,0,0,1.558,0,0,0,1.999,0,"Recycling,Composting",6.167,6.655,11.528,2,2.687,16.697,44.264,3,Probably real,Yes,,4.486,5.838,6.801,2,Probably fake,Yes,,2.086,7.341,8.317,3,Probably real,Yes,,8.892,10.269,11.493,2,Probably real,Yes,,4.583,6.072,7.15,2,Probably fake,No,,3.172,4.796,5.708,3,Probably fake,Yes,,4.231,5.536,6.271,2,Probably fake,No,,1.862,2.542,3.733,2,Probably fake,Yes,,7.4,8.963,10.025,2,Probably real,Yes,,2.184,3.208,4.193,2,Probably real,Yes,,8.112,15.616,17.568,2,Probably real,Yes,"No, everything was in order and the image was new to me.",5.726,12.802,17.503,3,Probably real,Yes,,5.526,6.605,7.686,2,Probably fake,Yes,,2.59,3.83,4.926,2,Probably fake,No,"No, everything was in order and the image was new to me.",3.639,10.641,12.095,5,Probably real,Yes,,3.167,5.142,6.087,2,65,3.844,4.448,5.443,2,3,3,0,0,4,3.625,38.936,47.748,9,I prefer audiobooks,4.793,4.793,12.049,1,No,No,3.671,4.943,5.757,2,8.125,8.125,12.738,1,0,0,2.101,0,0,1,0,0,0,G2_P0334
2025-04-01 10:04:37,2025-04-01 10:09:46,100,308,True,2025-04-01 10:09:46,,EN,I consent to participate.,3.508,3.508,5.144,1,Chrome,134.0.0.0,Windows NT 10.0,1920x1080,0,0,1.619,0,0,0,4.926,0,"Recycling,Composting",31.354,34.517,39.415,2,0,0,7.385,0,Probably real,Yes,"Yes, I have seen this image before.",2.761,5.879,7.657,3,Probably fake,Yes,"Yes, I have seen this image before.",2.462,5.795,7.224,3,Probably fake,No,"No, everything was in order and the image was new to me.",1.732,4.459,5.857,3,Probably fake,No,"No, everything was in order and the image was new to me.",1.983,9.39,10.835,5,Definitely real,Yes,"Yes, I have seen this image before.",2.738,7.575,8.703,3,Probably real,No,"Yes, I have seen this image before.",2.148,5.552,6.865,3,Probably fake,Yes,"No, everything was in order and the image was new to me.",1.956,8.951,10.177,3,Probably fake,No,"Yes, I have seen this image before.",2.094,6.631,7.672,4,Probably fake,No,"Yes, I have seen this image before.",2.128,9.134,10.486,5,Probably real,Yes,"Yes, I have seen this image before.",5.683,8.062,9.496,3,Probably real,Yes,"Yes, I have seen this image before.",2.7,6.732,7.755,3,Probably fake,No,"Yes, I have seen this image before.",4.719,11.479,13.253,3,Probably real,Yes,"Yes, I have seen this image before.",4.018,14.619,16.087,3,Definitely fake,No,"No, everything was in order and the image was new to me.",3.054,6.622,7.653,3,Probably fake,No,"Yes, I have seen this image before.",3.386,6.817,7.908,3,90,0.75,4.002,5.522,3,5,5,4,5,5,3.264,20.725,22.341,9,I prefer audiobooks,7.379,16.681,26.627,2,No,No,5.642,10.361,11.623,2,0,0,14.427,0,0,0,4.157,0,0,1,0,0,0,G2_P0019
2025-04-01 10:04:57,2025-04-01 10:10:37,100,340,True,2025-04-01 10:10:38,,EN,I consent to participate.,2.554,2.554,3.645,1,Chrome,134.0.0.0,Windows NT 10.0,2195x1235,0,0,1.374,0,0,0,4.302,0,"Recycling,Composting",7.487,9.527,20.093,2,0,0,9.388,0,Probably real,No,"No, everything was in order and the image was new to me.",6.064,9.631,10.5,3,Probably real,No,"No, everything was in order and the image was new to me.",4.08,12.576,13.669,3,Definitely real,No,"No, everything was in order and the image was new to me.",2.02,3.955,7.087,3,Probably real,No,"No, everything was in order and the image was new to me.",13.703,15.924,16.913,3,Probably fake,No,"No, everything was in order and the image was new to me.",9.181,11.373,12.338,3,Probably real,No,"No, everything was in order and the image was new to me.",20.569,22.665,23.693,3,Probably fake,No,"No, everything was in order and the image was new to me.",7.721,10.688,11.656,3,Definitely fake,No,"No, everything was in order and the image was new to me.",9.307,13.643,15.919,3,Probably real,No,"No, everything was in order and the image was new to me.",3.884,6.324,7.666,3,Probably real,No,"No, everything was in order and the image was new to me.",7.051,9.579,10.426,3,Probably real,No,"No, everything was in order and the image was new to me.",12.195,14.371,15.202,3,Definitely real,No,"No, everything was in order and the image was new to me.",17.473,19.657,20.566,3,Definitely fake,No,"No, everything was in order and the image was new to me.",2.878,5.566,6.899,3,Definitely real,No,"No, everything was in order and the image was new to me.",9.482,11.81,12.686,3,Probably real,No,"No, everything was in order and the image was new to me.",13.721,16.633,17.398,3,61,3.903,3.903,5.007,1,4,3,5,2,2,4.227,21.178,21.86,6,I prefer audiobooks,26.254,26.254,31.507,1,No,No,2.154,5.354,6.336,2,0,0,19.301,0,0,0,1.844,0,0,1,0,0,0,G2_P0476
2025-04-01 10:03:35,2025-04-01 10:11:30,100,475,True,2025-04-01 10:11:31,,EN,I consent to participate.,13.055,14.757,16.438,2,Chrome,134.0.0.0,Macintosh,1792x1120,0,0,1.911,0,0,0,2.201,0,"Recycling,Composting",14.085,15.304,20.892,2,0,0,12.95,0,Probably real,No,"No, everything was in order and the image was new to me.",6.537,17.505,19.46,5,Probably real,No,"No, everything was in order and the image was new to me.",11.104,18.156,19.163,5,Definitely real,Yes,"No, everything was in order and the image was new to me.",8.602,17.653,18.627,5,Definitely fake,No,"No, everything was in order and the image was new to me.",5.379,16.344,17.516,6,Probably real,Yes,"No, everything was in order and the image was new to me.",13.063,28.32,31.676,9,Probably real,No,"No, everything was in order and the image was new to me.",8.154,18.148,19.689,6,Probably real,No,"No, everything was in order and the image was new to me.",10.052,20.696,21.806,5,Definitely fake,No,"No, everything was in order and the image was new to me.",8.622,19.254,20.336,6,Probably real,No,"No, everything was in order and the image was new to me.",10.638,18.3,19.29,5,Probably fake,No,"No, everything was in order and the image was new to me.",6.665,12.69,13.851,5,Probably real,Yes,"No, everything was in order and the image was new to me.",6.385,14.57,15.482,5,Probably real,No,"No, everything was in order and the image was new to me.",13.212,27.103,28.242,5,Probably fake,No,"No, everything was in order and the image was new to me.",7.495,17.559,18.96,4,Probably real,No,"No, everything was in order and the image was new to me.",4.489,22.355,23.477,7,Definitely fake,No,"No, everything was in order and the image was new to me.",9.428,22.827,23.983,7,82,7.138,7.138,8.33,1,4,4,6,1,0,5.05,29.116,31.363,8,I prefer audiobooks,11.373,11.373,14.669,1,No,No,3.953,6.987,8.046,2,22.78,22.78,24.009,1,0,0,4.969,0,0,1,0,0,0,G2_P0384
2025-04-01 10:03:59,2025-04-01 10:11:42,100,462,True,2025-04-01 10:11:43,,EN,I consent to participate.,6.998,9.567,11.863,2,Chrome,134.0.0.0,Windows NT 10.0,1920x1080,0,0,3.85,0,0,0,20.742,0,"Recycling,Composting",15.073,17.722,20.048,2,0,0,24.139,0,Definitely real,Yes,"No, everything was in order and the image was new to me.",4.074,10.284,11.652,3,Probably real,Yes,"No, everything was in order and the image was new to me.",4.296,11.006,12.962,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",2.913,7.496,9.569,3,Definitely fake,No,"No, everything was in order and the image was new to me.",5.799,11.72,12.701,4,Definitely real,Yes,"No, everything was in order and the image was new to me.",3.417,8.921,11.081,3,Definitely fake,No,"No, everything was in order and the image was new to me.",14.351,18.412,19.833,3,Definitely fake,No,"No, everything was in order and the image was new to me.",8.256,13.344,14.73,3,Definitely fake,No,"No, everything was in order and the image was new to me.",4.068,9.004,10.633,3,Probably fake,No,"No, everything was in order and the image was new to me.",25.277,34.025,35.713,3,Definitely fake,No,"No, everything was in order and the image was new to me.",6.535,10.935,12.435,3,Probably fake,No,"No, everything was in order and the image was new to me.",17.72,28.356,30.365,5,Definitely real,Yes,"No, everything was in order and the image was new to me.",3.654,10.365,12.06,3,Probably real,Yes,"No, everything was in order and the image was new to me.",3.376,9.38,10.97,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",3,10.371,12.088,3,Probably real,No,"No, everything was in order and the image was new to me.",13.712,18.79,21.767,3,82,12.493,12.493,14.795,1,5,5,5,4,5,6.256,31.299,32.895,7,I prefer audiobooks,8.79,8.79,10.134,1,No,No,5.231,7.185,9.286,2,0,0,21.813,0,0,0,3.5,0,0,1,0,0,0,G2_P0015
2025-04-01 10:04:05,2025-04-01 10:12:09,100,484,True,2025-04-01 10:12:10,,EN,I consent to participate.,19.388,20.705,21.874,2,Chrome,132.0.0.0,Windows NT 10.0,1280x720,0,0,3.598,0,0,0,6.387,0,"Recycling,Composting",27.479,33.572,34.648,5,43.558,43.558,44.627,1,Definitely real,Yes,"No, everything was in order and the image was new to me.",5.176,17.203,18.028,9,Definitely real,Yes,"No, everything was in order and the image was new to me.",5.106,12.684,13.663,6,Definitely real,Yes,"No, everything was in order and the image was new to me.",3.37,11.249,12.274,7,Definitely real,No,"No, everything was in order and the image was new to me.",4.021,9.581,10.704,5,Probably real,No,"No, everything was in order and the image was new to me.",7.647,14.861,15.936,6,Probably fake,No,"No, everything was in order and the image was new to me.",5.627,13.321,14.206,6,Probably fake,No,"No, everything was in order and the image was new to me.",4.456,11.061,12.154,7,Probably real,Yes,"No, everything was in order and the image was new to me.",7.655,19.037,20.268,7,Definitely real,Yes,"No, everything was in order and the image was new to me.",3.448,10.841,11.99,6,Definitely real,Yes,"No, everything was in order and the image was new to me.",9.14,14.943,16.039,5,Probably fake,No,"No, everything was in order and the image was new to me.",8.348,24.155,25.402,6,Definitely real,Yes,"No, everything was in order and the image was new to me.",12.891,23.233,24.295,8,Definitely fake,No,"No, everything was in order and the image was new to me.",4.482,13.829,14.926,6,Probably real,No,"No, everything was in order and the image was new to me.",6.5,17.514,18.476,8,Probably real,No,"No, everything was in order and the image was new to me.",5.879,17.033,18.139,6,81,4.254,6.619,8.08,2,5,4,5,4,4,5.205,31.765,32.854,11,I prefer audiobooks,15.776,18.528,19.639,3,No,No,6.514,13.837,14.955,4,8.749,8.749,13.759,1,6.118,6.118,7.445,1,0,1,0,0,0,G2_P0398
2025-04-01 10:05:34,2025-04-01 10:12:33,100,418,True,2025-04-01 10:12:33,,EN,I consent to participate.,3.101,4.375,6.488,2,Chrome,134.0.0.0,Windows NT 10.0,1920x1080,1.331,1.331,2.04,1,0,0,5.301,0,"Recycling,Composting",5.746,15.605,16.512,5,12.833,12.833,13.85,1,Definitely real,Yes,"No, everything was in order and the image was new to me.",1.854,5.137,5.803,9,Probably real,Yes,"No, everything was in order and the image was new to me.",0.972,7.864,8.809,9,Definitely real,Yes,"No, everything was in order and the image was new to me.",3.935,8.205,8.875,9,Probably fake,Don't know,"No, everything was in order and the image was new to me.",4.184,14.374,15.002,14,Probably real,Yes,"No, everything was in order and the image was new to me.",1.92,11.889,13.198,15,Definitely fake,No,"No, everything was in order and the image was new to me.",0.864,10.017,10.871,9,Probably real,Don't know,"No, everything was in order and the image was new to me.",1.254,10.285,11.865,11,Definitely fake,No,"No, everything was in order and the image was new to me.",3.702,9.109,10.224,10,Probably fake,Don't know,"No, everything was in order and the image was new to me.",3.798,20.003,20.792,13,Probably fake,No,"No, everything was in order and the image was new to me.",3.734,12.501,14.637,9,Probably real,Don't know,"No, everything was in order and the image was new to me.",7.97,12.653,13.501,10,Probably real,Yes,"No, everything was in order and the image was new to me.",1.325,9.032,10.005,10,Probably real,Yes,"No, everything was in order and the image was new to me.",1.362,11.034,12.147,10,Probably real,Yes,"No, everything was in order and the image was new to me.",5.046,11.762,12.456,7,Probably real,Don't know,"No, everything was in order and the image was new to me.",13.603,23.044,25.355,10,72,6.075,12.572,14.105,2,5,4,5,3,5,3.223,23.465,24.681,17,I prefer audiobooks,8.531,14.286,15.211,3,No,No,2.361,4.756,6.032,3,5.401,23.832,25.983,18,1.9,1.9,3.843,1,0,1,0,0,0,G2_P0209
2025-04-01 10:03:43,2025-04-01 10:12:46,100,542,True,2025-04-01 10:12:46,,EN,I consent to participate.,10.888,10.888,11.998,1,Chrome,131.0.0.0,Windows NT 10.0,1280x720,0,0,1.848,0,0,0,6.1,0,"Recycling,Composting",20.218,20.629,22.5,2,0,0,6.525,0,Definitely real,No,"No, everything was in order and the image was new to me.",6.013,9.713,11.005,5,Definitely real,No,"No, everything was in order and the image was new to me.",4.661,7.244,8.129,3,Definitely real,No,"No, everything was in order and the image was new to me.",4.767,7.594,9.05,3,Definitely real,No,"No, everything was in order and the image was new to me.",5.511,7.867,9.039,3,Definitely real,No,"No, everything was in order and the image was new to me.",5.031,8.528,9.737,4,Probably real,No,"No, everything was in order and the image was new to me.",29.79,32.459,33.935,3,Definitely fake,No,"No, everything was in order and the image was new to me.",18.895,23.492,24.971,4,Definitely real,No,"No, everything was in order and the image was new to me.",3.21,8.596,10.355,5,Definitely real,No,"No, everything was in order and the image was new to me.",6.665,9.982,11.768,3,Definitely fake,No,"No, everything was in order and the image was new to me.",19.537,23.461,24.801,3,Probably real,No,"No, everything was in order and the image was new to me.",77.288,89.554,91.627,4,Definitely real,No,"No, everything was in order and the image was new to me.",3.672,11.046,12.302,3,Definitely fake,No,"No, everything was in order and the image was new to me.",25.195,39.918,41.342,13,Definitely real,Yes,"No, everything was in order and the image was new to me.",4.282,8.586,10.337,5,Definitely real,No,"No, everything was in order and the image was new to me.",10.525,14.866,16.147,3,92,4.106,4.106,4.995,1,5,5,1,0,1,3.033,34.311,36.11,16,I prefer audiobooks,15.593,15.593,18.279,1,No,No,4.789,9.274,10.369,2,30.299,31.718,41.57,2,0,0,2.67,0,0,1,0,0,0,G2_P0492
2025-04-01 10:04:51,2025-04-01 10:13:26,100,515,True,2025-04-01 10:13:27,,EN,I consent to participate.,2.168,7.304,9.258,2,Chrome,134.0.0.0,Windows NT 10.0,1536x864,0,0,2.485,0,0,0,5.932,0,"Recycling,Composting",17.766,19.719,25.601,2,0,0,29.785,0,Probably real,No,"No, everything was in order and the image was new to me.",11.993,23.721,26.806,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",12.142,16.965,19.281,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",9.23,14.461,15.902,3,Probably fake,Yes,"No, everything was in order and the image was new to me.",9.513,18.352,19.646,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",11.171,16.169,17.863,3,Probably real,Yes,"No, everything was in order and the image was new to me.",6.043,11.301,13.448,3,Definitely fake,No,"No, everything was in order and the image was new to me.",10.186,17.012,19.097,3,Definitely fake,No,"No, everything was in order and the image was new to me.",13.601,18.153,20.245,3,Definitely fake,No,"No, everything was in order and the image was new to me.",14.111,25.043,27.172,4,Probably real,No,"No, everything was in order and the image was new to me.",16.672,23.569,25.548,3,Probably fake,Yes,"No, everything was in order and the image was new to me.",29.01,34.489,35.675,3,Definitely real,No,"No, everything was in order and the image was new to me.",10.537,20.856,22.194,3,Definitely fake,Yes,"No, everything was in order and the image was new to me.",4.201,12.456,13.589,3,Probably fake,No,"No, everything was in order and the image was new to me.",8.42,21.63,23.295,3,Definitely fake,Yes,"No, everything was in order and the image was new to me.",14.337,19.078,20.301,3,65,6.511,6.511,8.069,1,4,4,4,3,4,4.715,36.147,38.275,6,I prefer audiobooks,10.94,10.94,15.175,1,No,No,5.51,7.797,9.929,2,0,0,35.802,0,0,0,2.718,0,0,1,0,0,0,G2_P0488
2025-04-01 10:05:52,2025-04-01 10:13:28,100,455,True,2025-04-01 10:13:28,,EN,I consent to participate.,82.374,82.374,83.461,1,Edge,134.0.0.0,Windows NT 10.0,1920x1080,0,0,13.322,0,0,0,4.344,0,"Recycling,Composting",9.642,10.858,16.718,2,0,0,14.013,0,Probably real,No,"No, everything was in order and the image was new to me.",5.006,22.078,22.744,4,Probably real,No,"No, everything was in order and the image was new to me.",63.137,70.241,72.31,3,Probably real,No,"No, everything was in order and the image was new to me.",2.009,4.873,6.997,3,Probably fake,No,"No, everything was in order and the image was new to me.",6.551,9.423,12.227,3,Probably real,No,"No, everything was in order and the image was new to me.",3.291,6.427,7.799,3,Probably real,No,"No, everything was in order and the image was new to me.",2.976,6.192,7.082,3,Probably real,No,"No, everything was in order and the image was new to me.",4.336,8.152,9.531,3,Probably real,No,"No, everything was in order and the image was new to me.",2.653,15.549,16.12,4,Probably real,No,"No, everything was in order and the image was new to me.",4.158,6.495,8.466,3,Probably real,No,"No, everything was in order and the image was new to me.",5.515,8.875,10.901,3,Probably fake,No,"No, everything was in order and the image was new to me.",5.006,7.103,12.065,3,Probably fake,No,"No, everything was in order and the image was new to me.",6.776,10.144,11.524,3,Probably fake,No,"No, everything was in order and the image was new to me.",5.962,11.202,13.639,3,Probably fake,No,"No, everything was in order and the image was new to me.",3.965,8.421,10.201,3,Probably fake,No,"No, everything was in order and the image was new to me.",4.001,8.598,12.163,3,25,7.2,7.2,8.074,1,2,2,5,0,0,3.784,22.152,23.314,6,I prefer audiobooks,8.894,8.894,13.962,1,No,No,2.813,5.581,7.649,2,0,0,16.679,0,0,0,2.045,0,0,1,0,0,0,G2_P0226
2025-04-01 10:05:07,2025-04-01 10:13:40,100,513,True,2025-04-01 10:13:41,,EN,I consent to participate.,7.369,7.369,9.789,1,Chrome,131.0.0.0,Windows NT 10.0,1366x768,0,0,5.074,0,0,0,13.361,0,"Recycling,Composting",24.09,32.816,35.034,4,0,0,32.691,0,Probably real,No,"No, everything was in order and the image was new to me.",5.156,10.003,11.262,3,Definitely real,No,"No, everything was in order and the image was new to me.",6.601,9.763,10.868,3,Definitely real,No,"No, everything was in order and the image was new to me.",2.517,6.629,8.079,3,Definitely real,Don't know,"No, everything was in order and the image was new to me.",4.953,10.648,11.626,3,Definitely real,No,"No, everything was in order and the image was new to me.",6.027,9.243,10.123,3,Probably real,No,"No, everything was in order and the image was new to me.",9.421,12.628,13.984,3,Probably real,Don't know,"No, everything was in order and the image was new to me.",7.656,12.255,13.37,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",2.42,7.371,8.383,3,Definitely real,No,"No, everything was in order and the image was new to me.",4.329,8.072,9.205,3,Probably real,Yes,"No, everything was in order and the image was new to me.",26.576,47.692,49.454,4,Definitely real,Yes,"No, everything was in order and the image was new to me.",4.817,8.097,9.129,3,Definitely real,Don't know,"No, everything was in order and the image was new to me.",2.375,12.118,13.88,4,Definitely fake,No,"No, everything was in order and the image was new to me.",3.352,7.087,8.041,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",4.415,7.975,9.269,3,Definitely real,Don't know,"No, everything was in order and the image was new to me.",2.356,15.314,16.302,4,61,13.464,13.464,14.796,1,4,3,4,3,2,6.085,37.891,39.069,11,I prefer audiobooks,13.831,13.831,17.414,1,No,No,15.416,21.037,22.565,2,0,0,24.504,0,0,0,5.562,0,0,1,0,0,0,G2_P0408
2025-04-01 10:09:59,2025-04-01 10:13:58,100,238,True,2025-04-01 10:13:58,,EN,I consent to participate.,2.773,2.773,3.559,1,Chrome,131.0.0.0,Windows NT 10.0,1920x1080,0,0,1.583,0,0,0,1.525,0,"Recycling,Composting",3.814,4.567,8.797,2,0,0,6.269,0,Probably fake,No,,1.96,3.272,4.765,2,Probably fake,No,,2.398,4.076,6.379,2,Probably fake,No,,3.696,16.688,18.074,3,Probably fake,No,,5.915,7.338,8.533,2,Probably fake,No,,2.355,3.988,6.117,2,Probably fake,No,,2.417,3.92,5.189,2,Probably fake,No,,4.631,6.201,7.454,2,Probably fake,No,,2.306,3.874,5.142,2,Probably real,Yes,,2.542,4.717,6.241,3,Probably fake,No,,5.821,7.75,8.632,2,Probably real,Yes,,3.565,4.382,6.539,2,Probably real,Yes,,4.25,5.793,6.981,2,Probably fake,No,,2.171,4.69,5.785,3,Probably fake,No,,2.05,2.772,3.801,2,Probably fake,No,,7.972,9.013,10.248,2,65,3.7,5.91,6.912,2,3,3,0,0,3,3.182,19.301,20.568,5,I prefer audiobooks,5.433,5.433,10.741,1,No,No,1.717,2.654,3.366,2,0,0,5.149,0,0,0,2.188,0,0,1,0,0,0,G2_P0138
2025-04-01 10:03:57,2025-04-01 10:15:39,100,702,True,2025-04-01 10:15:40,,EN,I consent to participate.,2.899,4.029,4.527,3,Chrome,131.0.0.0,Windows NT 10.0,1920x1080,0,0,21.76,0,0,0,146.585,0,"Recycling,Composting",6.747,8.522,10.303,2,175.736,175.736,176.123,1,Probably real,No,,15.427,18.343,19.805,4,Probably real,No,,1.673,3.627,5.712,3,Probably real,No,,5.316,10.362,11.552,3,Probably fake,No,,10.389,12.023,13.404,3,Probably real,No,,8.211,16.833,17.991,8,Probably fake,No,,7.321,8.951,9.884,3,Probably fake,No,,7.395,8.933,9.785,3,Probably fake,No,,4.973,17.491,17.83,9,Probably fake,No,,9.465,11.146,12.783,3,Definitely fake,No,,1.281,15.279,16.212,5,Definitely fake,No,,5.43,8.782,9.153,4,Probably fake,No,,8.135,9.521,10.501,3,Definitely fake,No,,2.249,6.895,7.587,7,Probably real,No,,8.678,13.29,14.347,3,Probably fake,No,,15.576,17.418,18.32,3,60,2.504,3.989,4.584,4,4,4,6,6,3,5.41,22.021,23.745,14,I prefer audiobooks,3.014,3.014,5.035,1,No,No,2.001,3.435,4.239,2,3.091,11.995,12.88,2,0,0,1.473,0,0,1,0,0,0,G2_P0412
